,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,273297510,2023,6,AZOV (RU)
1,Tanker,273353480,2023,6,TUAPSE (RU)
2,Tanker,538002788,2023,6,IZMAYIL (UA)
3,Tanker,273156000,2023,6,NOVOROSSIYSK (RU)
4,Cargo,636017280,2023,6,ODESA (UA)
5,Cargo,273290460,2023,6,KAVKAZ OIL TERMINAL (RU)
6,Cargo,273441540,2023,6,KAVKAZ OIL TERMINAL (RU)
7,Cargo,677023300,2023,6,IZMAYIL (UA)
8,Tanker,273311240,2023,6,KAVKAZ OIL TERMINAL (RU)
9,Cargo,273296030,2023,6,TAGANROG (RU)
10,Cargo,373907000,2023,6,KAVKAZ OIL TERMINAL (RU)
11,Tanker,518865000,2023,6,TEMRYUK (RU)
12,Cargo,511100209,2023,6,IZMAYIL (UA)
13,Tanker,273315050,2023,6,TUAPSE (RU)
14,Cargo,671978000,2023,6,IZMAYIL (UA)
15,Cargo,273442610,2023,6,KAVKAZ OIL TERMINAL (RU)
16,Tanker,423488100,2023,6,AZOV (RU)
17,Cargo,620881000,2023,6,IZMAYIL (UA)
18,Tanker,626291000,2023,6,TUAPSE (RU)
19,Cargo,341993000,2023,6,ROSTOV-NA-DONU (RU)
20,Tanker,636018307,2023,6,NOVOROSSIYSK (RU)
21,Cargo,577568000,2023,6,RENI (UA)
22,Tanker,538008714,2023,6,NOVOROSSIYSK (RU)
23,Tanker,273277000,2023,6,YEYSK (RU)
24,Cargo,351630000,2023,6,NOVOROSSIYSK (RU)
25,Cargo,273313900,2023,6,TAGANROG (RU)
26,Cargo,341765000,2023,6,NOVOROSSIYSK (RU)
27,Cargo,677072400,2023,6,YEYSK (RU)
28,Cargo,273433000,2023,6,YEYSK (RU)
29,Tanker,273391340,2023,6,KAVKAZ OIL TERMINAL (RU)
30,Cargo,264163538,2023,6,IZMAYIL (UA)
31,Cargo,273335500,2023,6,YEYSK (RU)
32,Cargo,273331320,2023,6,TAGANROG (RU)
33,Cargo,518100770,2023,6,RENI (UA)
34,Cargo,273334900,2023,6,NOVOROSSIYSK (RU)
35,Cargo,273346210,2023,6,ROSTOV-NA-DONU (RU)
36,Cargo,352891000,2023,6,YEVPATORIYA (UA)
37,Cargo,273435200,2023,6,TAGANROG (RU)
