,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,357652000,2021,3,MARIUPOL (UA)
1,Cargo,577363000,2021,3,MARIUPOL (UA)
2,Cargo,341487000,2021,3,KAVKAZ OIL TERMINAL (RU)
3,Cargo,353296000,2021,3,KAVKAZ OIL TERMINAL (RU)
4,Tanker,538004119,2021,3,ODESA (UA)
5,Cargo,273338930,2021,3,AZOV (RU)
6,Cargo,370180000,2021,3,NOVOROSSIYSK (RU)
7,Cargo,273455920,2021,3,MARIUPOL (UA)
8,Cargo,273215210,2021,3,ROSTOV-NA-DONU (RU)
9,Cargo,273430210,2021,3,ILLICHIVSK (UA)
10,Cargo,273430210,2021,3,YEYSK (RU)
11,Cargo,314537000,2021,3,KAVKAZ OIL TERMINAL (RU)
12,Cargo,248854000,2021,3,YEYSK (RU)
13,Cargo,311040200,2021,3,YUZHNYY (UA)
14,Cargo,273458910,2021,3,TAGANROG (RU)
15,Cargo,620743000,2021,3,NOVOROSSIYSK (RU)
16,Cargo,351136000,2021,3,ILLICHIVSK (UA)
17,Cargo,273350280,2021,3,NOVOROSSIYSK (RU)
18,Cargo,577187000,2021,3,ROSTOV-NA-DONU (RU)
19,Tanker,241493000,2021,3,NOVOROSSIYSK (RU)
20,Cargo,374931000,2021,3,TAGANROG (RU)
21,Cargo,273449370,2021,3,ROSTOV-NA-DONU (RU)
22,Cargo,636012798,2021,3,YUZHNYY (UA)
23,Cargo,351971000,2021,3,AZOV (RU)
24,Cargo,273416980,2021,3,KAVKAZ OIL TERMINAL (RU)
25,Cargo,511100389,2021,3,IZMAYIL (UA)
26,Tanker,273445480,2021,3,TEMRYUK (RU)
27,Cargo,215562000,2021,3,MARIUPOL (UA)
28,Tanker,272791000,2021,3,IZMAYIL (UA)
29,Cargo,249607000,2021,3,KAVKAZ OIL TERMINAL (RU)
30,Cargo,351847000,2021,3,YUZHNYY (UA)
31,Tanker,372777000,2021,3,MYKOLAYIV (UA)
32,Cargo,677060500,2021,3,NOVOROSSIYSK (RU)
33,Cargo,677075400,2021,3,KAVKAZ OIL TERMINAL (RU)
34,Tanker,256391000,2021,3,TUAPSE (RU)
35,Tanker,215910000,2021,3,NOVOROSSIYSK (RU)
36,Tanker,215835000,2021,3,TEMRYUK (RU)
37,Cargo,273381200,2021,3,YEYSK (RU)
38,Cargo,538009144,2021,3,YUZHNYY (UA)
39,Cargo,273339200,2021,3,SEVASTOPOL (UA)
40,Cargo,256683000,2021,3,ILLICHIVSK (UA)
41,Cargo,256840000,2021,3,IZMAYIL (UA)
42,Cargo,477552800,2021,3,NOVOROSSIYSK (RU)
43,Cargo,677043900,2021,3,ROSTOV-NA-DONU (RU)
44,Cargo,577397000,2021,3,NOVOROSSIYSK (RU)
45,Cargo,677017000,2021,3,RENI (UA)
46,Cargo,352005000,2021,3,YUZHNYY (UA)
47,Cargo,272795000,2021,3,KHERSON (UA)
48,Tanker,273332530,2021,3,KAVKAZ OIL TERMINAL (RU)
49,Cargo,273338500,2021,3,KAVKAZ OIL TERMINAL (RU)
50,Cargo,538006750,2021,3,NOVOROSSIYSK (RU)
51,Cargo,353209000,2021,3,MARIUPOL (UA)
52,Cargo,620133000,2021,3,AZOV (RU)
53,Cargo,374488000,2021,3,KAVKAZ OIL TERMINAL (RU)
54,Cargo,370040000,2021,3,KAVKAZ OIL TERMINAL (RU)
55,Tanker,273380170,2021,3,KAVKAZ OIL TERMINAL (RU)
56,Tanker,240955000,2021,3,NOVOROSSIYSK (RU)
57,Tanker,538008197,2021,3,KAVKAZ OIL TERMINAL (RU)
58,Cargo,356300000,2021,3,TUAPSE (RU)
59,Cargo,256840000,2021,3,RENI (UA)
