,vessel_type,mmsi,date_year,date_month,geo_name
0,Tanker,447069000,2019,10,AS SUWAYS (EG)
1,Cargo,538007642,2019,10,DORALEH (DJ)
2,Cargo,538004352,2019,10,EL ISMAILIYA (EG)
3,Cargo,477430100,2019,10,AS SUWAYS (EG)
4,Tanker,563068400,2019,10,MJIMWEMA TERMINAL (TZ)
5,Cargo,636013840,2019,10,AS SUWAYS (EG)
6,Tanker,564011000,2019,10,AS SUWAYS (EG)
7,Cargo,538008561,2019,10,DORALEH (DJ)
8,Cargo,210953000,2019,10,BEIRA (MZ)
9,Cargo,477103800,2019,10,AS SUWAYS (EG)
10,Cargo,538006431,2019,10,AS SUWAYS (EG)
11,Tanker,271002613,2019,10,AS SUWAYS (EG)
12,Tanker,308171000,2019,10,BUR SAID (PORT SAID) (EG)
13,Cargo,477748500,2019,10,MJIMWEMA TERMINAL (TZ)
14,Tanker,370738000,2019,10,BUR SAID (PORT SAID) (EG)
15,Tanker,636015953,2019,10,AS SUWAYS (EG)
16,Tanker,636019311,2019,10,EL ISMAILIYA (EG)
17,Tanker,538005511,2019,10,AS SUWAYS (EG)
18,Cargo,354839000,2019,10,AS SUWAYS (EG)
19,Cargo,668049798,2019,10,AL KHAIR OIL TERMINAL (SD)
20,Cargo,246737000,2019,10,DAMIETTA (EG)
21,Cargo,671310000,2019,10,BUR SAID (PORT SAID) (EG)
22,Cargo,511518000,2019,10,DAMIETTA (EG)
23,Cargo,372275000,2019,10,AS SUWAYS (EG)
24,Cargo,636017408,2019,10,AS SUWAYS (EG)
25,Cargo,352138000,2019,10,AL ISKANDARIYH (ALEXANDRIA) (EG)
26,Tanker,563020800,2019,10,BUR SAID (PORT SAID) (EG)
27,Tanker,305377000,2019,10,AS SUWAYS (EG)
28,Cargo,373976000,2019,10,AS SUWAYS (EG)
29,Cargo,413064000,2019,10,AS SUWAYS (EG)
30,Cargo,413471970,2019,10,BEIRA (MZ)
31,Cargo,370567000,2019,10,AS SUWAYS (EG)
32,Tanker,352530000,2019,10,BUR SAID (PORT SAID) (EG)
33,Cargo,370317000,2019,10,AIN SUKHNA TERMINAL (EG)
34,Tanker,538003325,2019,10,AS SUWAYS (EG)
35,Tanker,636011054,2019,10,AS SUWAYS (EG)
36,Tanker,564182000,2019,10,AS SUWAYS (EG)
37,Cargo,373495000,2019,10,BUR SAID (PORT SAID) (EG)
38,Cargo,353332000,2019,10,AS SUWAYS (EG)
39,Cargo,477105300,2019,10,AL ISKANDARIYH (ALEXANDRIA) (EG)
40,Cargo,636017548,2019,10,MOMBASA (KE)
41,Cargo,219863000,2019,10,BUR SAID (PORT SAID) (EG)
42,Tanker,563073400,2019,10,AS SUWAYS (EG)
43,Tanker,636018267,2019,10,AS SUWAYS (EG)
44,Cargo,622139002,2019,10,BESHAYER OIL TERMINAL (SD)
45,Tanker,565699000,2019,10,MJIMWEMA TERMINAL (TZ)
46,Cargo,636018732,2019,10,AS SUWAYS (EG)
47,Cargo,431986000,2019,10,BUR SAID (PORT SAID) (EG)
48,Tanker,538002788,2019,10,DORALEH (DJ)
49,Cargo,636017506,2019,10,AS SUWAYS (EG)
50,Cargo,353105000,2019,10,EL MAADIYA (EG)
51,Tanker,538008205,2019,10,BUR SAID (PORT SAID) (EG)
52,Cargo,374491000,2019,10,DAMIETTA (EG)
53,Cargo,477524700,2019,10,BUR SAID (PORT SAID) (EG)
54,Cargo,477114300,2019,10,EL MAADIYA (EG)
55,Cargo,373996000,2019,10,MAPUTO (MZ)
56,Cargo,538006358,2019,10,BUR SAID (PORT SAID) (EG)
57,Tanker,249814000,2019,10,DAMIETTA (EG)
58,Cargo,538008018,2019,10,EL ISMAILIYA (EG)
59,Tanker,240903000,2019,10,BUR SAID (PORT SAID) (EG)
60,Tanker,636017606,2019,10,DORALEH (DJ)
61,Cargo,622121423,2019,10,EL MAADIYA (EG)
62,Cargo,338217000,2019,10,EL ISMAILIYA (EG)
63,Cargo,374942000,2019,10,EL MAADIYA (EG)
64,Cargo,371587000,2019,10,EL ISMAILIYA (EG)
65,Tanker,310700000,2019,10,BUR SAID (PORT SAID) (EG)
66,Cargo,372512000,2019,10,ZAFARANA TERMINAL (EG)
67,Tanker,538090189,2019,10,BUR SAID (PORT SAID) (EG)
68,Cargo,403030000,2019,10,AL KHAIR OIL TERMINAL (SD)
69,Tanker,538006761,2019,10,BUR SAID (PORT SAID) (EG)
70,Tanker,258960000,2019,10,AS SUWAYS (EG)
71,Cargo,218843000,2019,10,AS SUWAYS (EG)
72,Cargo,563217000,2019,10,EL ISMAILIYA (EG)
73,Cargo,538003822,2019,10,EL ISMAILIYA (EG)
74,Cargo,247009600,2019,10,AS SUWAYS (EG)
75,Cargo,374119000,2019,10,MAPUTO (MZ)
76,Cargo,258097000,2019,10,BUR SAID (PORT SAID) (EG)
77,Cargo,355465000,2019,10,MAPUTO (MZ)
