,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,538003411,2020,5,AS SUWAYS (EG)
1,Cargo,374829000,2020,5,BUR SAID (PORT SAID) (EG)
2,Tanker,219302000,2020,5,AS SUWAYS (EG)
3,Cargo,636019774,2020,5,DORALEH (DJ)
4,Cargo,354275000,2020,5,AL KHAIR OIL TERMINAL (SD)
5,Tanker,249576000,2020,5,BUR SAID (PORT SAID) (EG)
6,Tanker,309504000,2020,5,BUR SAID (PORT SAID) (EG)
7,Tanker,311000251,2020,5,RAS SHUKHIER (EG)
8,Cargo,354380000,2020,5,DAMIETTA (EG)
9,Cargo,304010376,2020,5,BEIRA (MZ)
10,Cargo,563069900,2020,5,BUR SAID (PORT SAID) (EG)
11,Cargo,565794000,2020,5,AS SUWAYS (EG)
12,Tanker,205517000,2020,5,BUR SAID (PORT SAID) (EG)
13,Tanker,636018568,2020,5,AS SUWAYS (EG)
14,Cargo,218566000,2020,5,BUR SAID (PORT SAID) (EG)
15,Cargo,636016928,2020,5,EL-ADABIYA (EG)
16,Cargo,538005879,2020,5,DAMIETTA (EG)
17,Tanker,258148000,2020,5,AS SUWAYS (EG)
18,Tanker,311000667,2020,5,BUR SAID (PORT SAID) (EG)
19,Cargo,620040000,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
20,Cargo,567019000,2020,5,AS SUWAYS (EG)
21,Tanker,538003913,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
22,Tanker,258933000,2020,5,EL MAADIYA (EG)
23,Cargo,622112801,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
24,Tanker,566479000,2020,5,AS SUWAYS (EG)
25,Cargo,477832400,2020,5,BUR SAID (PORT SAID) (EG)
26,Tanker,538007564,2020,5,DORALEH (DJ)
27,Cargo,563069900,2020,5,AS SUWAYS (EG)
28,Cargo,620227000,2020,5,BUR SAID (PORT SAID) (EG)
29,Cargo,215378000,2020,5,BUR SAID (PORT SAID) (EG)
30,Cargo,671798000,2020,5,AS SUWAYS (EG)
31,Cargo,477963800,2020,5,AS SUWAYS (EG)
32,Cargo,477067700,2020,5,AS SUWAYS (EG)
33,Cargo,352757000,2020,5,AS SUWAYS (EG)
34,Tanker,403546000,2020,5,AIN SUKHNA TERMINAL (EG)
35,Cargo,622113175,2020,5,EL MAADIYA (EG)
36,Tanker,249547000,2020,5,BUR SAID (PORT SAID) (EG)
37,Cargo,357920000,2020,5,DAMIETTA (EG)
38,Cargo,477552500,2020,5,BUR SAID (PORT SAID) (EG)
39,Cargo,370808000,2020,5,BUR SAID (PORT SAID) (EG)
40,Cargo,219116000,2020,5,DAMIETTA (EG)
41,Tanker,256945000,2020,5,BUR SAID (PORT SAID) (EG)
42,Cargo,477035200,2020,5,BUR SAID (PORT SAID) (EG)
43,Cargo,636016161,2020,5,ZAFARANA TERMINAL (EG)
44,Tanker,636019028,2020,5,AS SUWAYS (EG)
45,Cargo,215185000,2020,5,ZAFARANA TERMINAL (EG)
46,Tanker,354588000,2020,5,AS SUWAYS (EG)
47,Tanker,538002920,2020,5,BUR SAID (PORT SAID) (EG)
48,Cargo,636013086,2020,5,NACALA (MZ)
49,Cargo,538006294,2020,5,BUR SAID (PORT SAID) (EG)
50,Tanker,258003000,2020,5,EL ISMAILIYA (EG)
51,Cargo,229603000,2020,5,BUR SAID (PORT SAID) (EG)
52,Tanker,248585000,2020,5,AS SUWAYS (EG)
53,Cargo,563000600,2020,5,BUR SAID (PORT SAID) (EG)
54,Tanker,477049100,2020,5,MOMBASA (KE)
55,Cargo,477510800,2020,5,BUR SAID (PORT SAID) (EG)
56,Cargo,372003000,2020,5,BUR SAID (PORT SAID) (EG)
57,Tanker,259266000,2020,5,DJIBOUTI (DJ)
58,Tanker,636017456,2020,5,AS SUWAYS (EG)
59,Cargo,538006661,2020,5,AS SUWAYS (EG)
60,Cargo,636019355,2020,5,BUR SAID (PORT SAID) (EG)
61,Tanker,538004885,2020,5,AS SUWAYS (EG)
62,Tanker,229619000,2020,5,RAS SHUKHIER (EG)
63,Cargo,372400000,2020,5,AS SUWAYS (EG)
64,Cargo,373673000,2020,5,EL MAADIYA (EG)
65,Cargo,374120000,2020,5,EL MAADIYA (EG)
66,Tanker,256702000,2020,5,AS SUWAYS (EG)
67,Cargo,219018501,2020,5,AS SUWAYS (EG)
68,Cargo,373251000,2020,5,DAMIETTA (EG)
69,Cargo,372833000,2020,5,EL MAADIYA (EG)
70,Tanker,235061675,2020,5,EL ISMAILIYA (EG)
71,Cargo,431986000,2020,5,AS SUWAYS (EG)
72,Tanker,563104400,2020,5,BUR SAID (PORT SAID) (EG)
73,Cargo,374230000,2020,5,MJIMWEMA TERMINAL (TZ)
74,Cargo,431929000,2020,5,AS SUWAYS (EG)
75,Cargo,538006603,2020,5,AS SUWAYS (EG)
76,Cargo,305113000,2020,5,AS SUWAYS (EG)
77,Cargo,371992000,2020,5,AL KHAIR OIL TERMINAL (SD)
78,Cargo,356610000,2020,5,DAMIETTA (EG)
79,Cargo,229441000,2020,5,ZANZIBAR (TZ)
80,Cargo,563088200,2020,5,AS SUWAYS (EG)
81,Cargo,636019031,2020,5,PEBANE (MZ)
82,Tanker,241444000,2020,5,BUR SAID (PORT SAID) (EG)
83,Tanker,419001245,2020,5,AS SUWAYS (EG)
84,Tanker,403502000,2020,5,NACALA (MZ)
85,Cargo,357879000,2020,5,AL KHAIR OIL TERMINAL (SD)
86,Tanker,355213000,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
87,Tanker,403529001,2020,5,AL KHAIR OIL TERMINAL (SD)
88,Cargo,677073000,2020,5,SAWAKIN HARBOR (SD)
89,Tanker,357571000,2020,5,AS SUWAYS (EG)
90,Tanker,565509000,2020,5,EL ISMAILIYA (EG)
91,Cargo,622113175,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
92,Tanker,538006541,2020,5,AS SUWAYS (EG)
93,Cargo,538004612,2020,5,BEIRA (MZ)
94,Cargo,636019932,2020,5,AS SUWAYS (EG)
95,Tanker,241079000,2020,5,BUR SAID (PORT SAID) (EG)
96,Cargo,256579000,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
97,Tanker,563067900,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
98,Tanker,572278220,2020,5,BEIRA (MZ)
99,Cargo,338071000,2020,5,DORALEH (DJ)
100,Cargo,477103800,2020,5,BUR SAID (PORT SAID) (EG)
101,Cargo,677071700,2020,5,TANGA (TZ)
102,Cargo,477020200,2020,5,AL ISKANDARIYH (ALEXANDRIA) (EG)
103,Cargo,671011100,2020,5,EL MAADIYA (EG)
