,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,636092966,2022,9,MAPUTO (MZ)
1,Cargo,563093300,2022,9,MJIMWEMA TERMINAL (TZ)
2,Cargo,620936000,2022,9,AS SUWAYS (EG)
3,Cargo,235572000,2022,9,AS SUWAYS (EG)
4,Tanker,538006485,2022,9,AIN SUKHNA TERMINAL (EG)
5,Cargo,247437600,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
6,Cargo,538009654,2022,9,MJIMWEMA TERMINAL (TZ)
7,Cargo,538007324,2022,9,AL KHAIR OIL TERMINAL (SD)
8,Tanker,271002613,2022,9,AS SUWAYS (EG)
9,Tanker,636019424,2022,9,NACALA (MZ)
10,Tanker,636018127,2022,9,AS SUWAYS (EG)
11,Cargo,405000240,2022,9,BUR SAID (PORT SAID) (EG)
12,Tanker,215870000,2022,9,BUR SAID (PORT SAID) (EG)
13,Cargo,314657000,2022,9,DAMIETTA (EG)
14,Cargo,311043100,2022,9,DAMIETTA (EG)
15,Cargo,564058000,2022,9,BEIRA (MZ)
16,Cargo,248510000,2022,9,EL ISMAILIYA (EG)
17,Tanker,564863000,2022,9,AS SUWAYS (EG)
18,Tanker,241343000,2022,9,EL ISMAILIYA (EG)
19,Cargo,671290100,2022,9,AS SUWAYS (EG)
20,Cargo,538007539,2022,9,AS SUWAYS (EG)
21,Tanker,636018818,2022,9,EL ISMAILIYA (EG)
22,Tanker,538009885,2022,9,DAMIETTA (EG)
23,Cargo,303657000,2022,9,AS SUWAYS (EG)
24,Tanker,636021655,2022,9,AS SUWAYS (EG)
25,Tanker,622120927,2022,9,AIN SUKHNA TERMINAL (EG)
26,Tanker,636022098,2022,9,RAS ABU ZANIMAH (EG)
27,Tanker,636020429,2022,9,BUR SAID (PORT SAID) (EG)
28,Tanker,311000903,2022,9,BUR SAID (PORT SAID) (EG)
29,Cargo,356866000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
30,Tanker,319349000,2022,9,EL ISMAILIYA (EG)
31,Cargo,671303100,2022,9,EL MAADIYA (EG)
32,Cargo,357214000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
33,Cargo,338408000,2022,9,DORALEH (DJ)
34,Tanker,622120926,2022,9,ZEIT BAY LPG TERMINAL (EG)
35,Cargo,355327000,2022,9,DORALEH (DJ)
36,Tanker,563063700,2022,9,TANGA (TZ)
37,Cargo,249740000,2022,9,AS SUWAYS (EG)
38,Cargo,371233000,2022,9,AS SUWAYS (EG)
39,Cargo,477638600,2022,9,AL KHAIR OIL TERMINAL (SD)
40,Tanker,372961000,2022,9,BUR SAID (PORT SAID) (EG)
41,Cargo,356289000,2022,9,AS SUWAYS (EG)
42,Cargo,255806337,2022,9,BUR SAID (PORT SAID) (EG)
43,Cargo,258774000,2022,9,BUR SAID (PORT SAID) (EG)
44,Tanker,232019341,2022,9,AS SUWAYS (EG)
45,Tanker,308248000,2022,9,BUR SAID (PORT SAID) (EG)
46,Cargo,351838000,2022,9,EL MAADIYA (EG)
47,Tanker,636021809,2022,9,BUR SAID (PORT SAID) (EG)
48,Cargo,538007281,2022,9,WADI FEIRAN (EG)
49,Cargo,518100278,2022,9,DAMIETTA (EG)
50,Tanker,538002594,2022,9,EL ISMAILIYA (EG)
51,Tanker,538005414,2022,9,MAPUTO (MZ)
52,Cargo,538003705,2022,9,EL ISMAILIYA (EG)
53,Cargo,255805987,2022,9,DAMIETTA (EG)
54,Cargo,403048000,2022,9,AS SUWAYS (EG)
55,Cargo,636020137,2022,9,AS SUWAYS (EG)
56,Cargo,255803640,2022,9,BUR SAID (PORT SAID) (EG)
57,Cargo,354932000,2022,9,EL ISMAILIYA (EG)
58,Cargo,272142000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
59,Cargo,371140000,2022,9,MOMBASA (KE)
60,Tanker,636017797,2022,9,AS SUWAYS (EG)
61,Cargo,311000101,2022,9,EL ISMAILIYA (EG)
62,Cargo,241432000,2022,9,AS SUWAYS (EG)
63,Cargo,319409000,2022,9,MJIMWEMA TERMINAL (TZ)
64,Cargo,370395000,2022,9,EL ISMAILIYA (EG)
65,Cargo,566796000,2022,9,BUR SAID (PORT SAID) (EG)
66,Cargo,219034000,2022,9,BUR SAID (PORT SAID) (EG)
67,Cargo,636020499,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
68,Cargo,636018079,2022,9,AS SUWAYS (EG)
69,Cargo,577438000,2022,9,DAMIETTA (EG)
70,Cargo,209748000,2022,9,BUR SAID (PORT SAID) (EG)
71,Cargo,357207000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
72,Tanker,271045135,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
73,Cargo,518100289,2022,9,EL-ADABIYA (EG)
74,Cargo,620547000,2022,9,SIDI KERIR (KURAYR) (EG)
75,Cargo,351222000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
76,Tanker,636017827,2022,9,AS SUWAYS (EG)
77,Cargo,566707000,2022,9,MAPUTO (MZ)
78,Cargo,538002630,2022,9,AS SUWAYS (EG)
79,Cargo,538004498,2022,9,AS SUWAYS (EG)
80,Tanker,240820000,2022,9,AS SUWAYS (EG)
81,Cargo,677079200,2022,9,DORALEH (DJ)
82,Cargo,511100577,2022,9,AS SUWAYS (EG)
83,Cargo,374634000,2022,9,AS SUWAYS (EG)
84,Cargo,249895000,2022,9,EL MAADIYA (EG)
85,Cargo,354932000,2022,9,AS SUWAYS (EG)
86,Tanker,538009530,2022,9,AS SUWAYS (EG)
87,Cargo,564853000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
88,Cargo,369246000,2022,9,BUR SAID (PORT SAID) (EG)
89,Tanker,538004170,2022,9,AS SUWAYS (EG)
90,Cargo,440161000,2022,9,BUR SAID (PORT SAID) (EG)
91,Cargo,247352300,2022,9,MJIMWEMA TERMINAL (TZ)
92,Cargo,412478730,2022,9,AS SUWAYS (EG)
93,Cargo,440161000,2022,9,AS SUWAYS (EG)
94,Tanker,215712000,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
95,Cargo,538006959,2022,9,AS SUWAYS (EG)
96,Cargo,373404000,2022,9,AS SUWAYS (EG)
97,Cargo,229454000,2022,9,EL ISMAILIYA (EG)
98,Cargo,563137800,2022,9,AL KHAIR OIL TERMINAL (SD)
99,Tanker,636017739,2022,9,EL HAMRA OIL TERMINAL (EG)
100,Cargo,224901000,2022,9,EL ISMAILIYA (EG)
101,Cargo,566779000,2022,9,BUR SAID (PORT SAID) (EG)
102,Tanker,477049200,2022,9,BUR SAID (PORT SAID) (EG)
103,Cargo,538090453,2022,9,MAPUTO (MZ)
104,Tanker,241380000,2022,9,AS SUWAYS (EG)
105,Tanker,636020892,2022,9,BUR SAID (PORT SAID) (EG)
106,Cargo,338078000,2022,9,BUR SAID (PORT SAID) (EG)
107,Cargo,636021418,2022,9,MOMBASA (KE)
108,Cargo,319740000,2022,9,MJIMWEMA TERMINAL (TZ)
109,Tanker,564860000,2022,9,BEIRA (MZ)
110,Cargo,636016911,2022,9,EL ISMAILIYA (EG)
111,Tanker,309333000,2022,9,AS SUWAYS (EG)
112,Tanker,249266000,2022,9,AS SUWAYS (EG)
113,Cargo,305714000,2022,9,EL MAADIYA (EG)
114,Cargo,538007989,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
115,Tanker,563106700,2022,9,AS SUWAYS (EG)
116,Cargo,511100266,2022,9,AS SUWAYS (EG)
117,Tanker,636018066,2022,9,EL ISMAILIYA (EG)
118,Tanker,636017141,2022,9,BUR SAID (PORT SAID) (EG)
119,Tanker,235108534,2022,9,BUR SAID (PORT SAID) (EG)
120,Tanker,613709612,2022,9,BUR SAID (PORT SAID) (EG)
121,Cargo,538005617,2022,9,AS SUWAYS (EG)
122,Cargo,538008002,2022,9,EL ISMAILIYA (EG)
123,Cargo,354447000,2022,9,AS SUWAYS (EG)
124,Cargo,538002659,2022,9,EL ISMAILIYA (EG)
125,Cargo,636017235,2022,9,BUR SAID (PORT SAID) (EG)
126,Tanker,422300300,2022,9,AS SUWAYS (EG)
127,Cargo,538009286,2022,9,EL ISMAILIYA (EG)
128,Cargo,305394000,2022,9,EL ISMAILIYA (EG)
129,Tanker,215870000,2022,9,AS SUWAYS (EG)
130,Tanker,636093020,2022,9,BUR SAID (PORT SAID) (EG)
131,Cargo,477166200,2022,9,AL ISKANDARIYH (ALEXANDRIA) (EG)
132,Cargo,215626000,2022,9,BUR SAID (PORT SAID) (EG)
133,Cargo,636093114,2022,9,BUR SAID (PORT SAID) (EG)
134,Cargo,538005232,2022,9,BUR SAID (PORT SAID) (EG)
135,Cargo,357321000,2022,9,DORALEH (DJ)
136,Tanker,477066400,2022,9,MOMBASA (KE)
137,Cargo,471002000,2022,9,AL KHAIR OIL TERMINAL (SD)
138,Cargo,255806321,2022,9,EL ISMAILIYA (EG)
139,Cargo,538009122,2022,9,AS SUWAYS (EG)
140,Cargo,636021296,2022,9,DAMIETTA (EG)
141,Tanker,636022098,2022,9,EL ISMAILIYA (EG)
142,Cargo,256153000,2022,9,AS SUWAYS (EG)
143,Tanker,636019402,2022,9,EL ISMAILIYA (EG)
144,Tanker,311019500,2022,9,AS SUWAYS (EG)
145,Tanker,538006975,2022,9,BUR SAID (PORT SAID) (EG)
146,Tanker,563080900,2022,9,BUR SAID (PORT SAID) (EG)
147,Cargo,374531000,2022,9,DAMIETTA (EG)
148,Cargo,355471000,2022,9,BUR SAID (PORT SAID) (EG)
