,vessel_type,mmsi,date_year,date_month,geo_name
0,Tanker,232005596,2023,2,AS SUWAYS (EG)
1,Tanker,565502000,2023,2,MAPUTO (MZ)
2,Cargo,671204100,2023,2,DORALEH (DJ)
3,Cargo,371383000,2023,2,BUR SAID (PORT SAID) (EG)
4,Tanker,538005805,2023,2,AS SUWAYS (EG)
5,Tanker,565687000,2023,2,TANGA (TZ)
6,Cargo,354775000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
7,Tanker,636012856,2023,2,BUR SAID (PORT SAID) (EG)
8,Cargo,352001364,2023,2,BEIRA (MZ)
9,Cargo,538010228,2023,2,BUR SAID (PORT SAID) (EG)
10,Cargo,538090563,2023,2,AL KHAIR OIL TERMINAL (SD)
11,Cargo,636022414,2023,2,AS SUWAYS (EG)
12,Cargo,271042493,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
13,Cargo,305901000,2023,2,EL MAADIYA (EG)
14,Tanker,538005784,2023,2,EL ISMAILIYA (EG)
15,Cargo,352986190,2023,2,EL MAADIYA (EG)
16,Cargo,351577000,2023,2,MJIMWEMA TERMINAL (TZ)
17,Cargo,230645000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
18,Tanker,228333700,2023,2,EL MAADIYA (EG)
19,Tanker,538005653,2023,2,BEIRA (MZ)
20,Cargo,538004443,2023,2,MAPUTO (MZ)
21,Tanker,248643000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
22,Tanker,538009745,2023,2,BUR SAID (PORT SAID) (EG)
23,Cargo,636021622,2023,2,DAMIETTA (EG)
24,Tanker,538004934,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
25,Tanker,403645000,2023,2,BUR SAID (PORT SAID) (EG)
26,Cargo,636016125,2023,2,BUR SAID (PORT SAID) (EG)
27,Tanker,256349000,2023,2,BUR SAID (PORT SAID) (EG)
28,Cargo,538001652,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
29,Cargo,538005929,2023,2,MOMBASA (KE)
30,Tanker,636017507,2023,2,ZAFARANA TERMINAL (EG)
31,Tanker,219031008,2023,2,EL MAADIYA (EG)
32,Cargo,477510700,2023,2,DORALEH (DJ)
33,Cargo,511100724,2023,2,BUR SAID (PORT SAID) (EG)
34,Cargo,440032000,2023,2,NACALA (MZ)
35,Cargo,636022416,2023,2,BUR SAID (PORT SAID) (EG)
36,Cargo,667001773,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
37,Cargo,563141100,2023,2,BUR SAID (PORT SAID) (EG)
38,Cargo,636018225,2023,2,AS SUWAYS (EG)
39,Cargo,477866800,2023,2,AL QUSAYR (EG)
40,Cargo,636015458,2023,2,BUR SAID (PORT SAID) (EG)
41,Cargo,563103900,2023,2,EL ISMAILIYA (EG)
42,Cargo,538005285,2023,2,PEMBA (MZ)
43,Tanker,249857000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
44,Cargo,620978000,2023,2,EL MAADIYA (EG)
45,Cargo,477638800,2023,2,EL ISMAILIYA (EG)
46,Cargo,671706000,2023,2,BUR SAID (PORT SAID) (EG)
47,Cargo,351737000,2023,2,BUR SAID (PORT SAID) (EG)
48,Tanker,215990000,2023,2,BUR SAID (PORT SAID) (EG)
49,Tanker,538004629,2023,2,EL ISMAILIYA (EG)
50,Cargo,246611000,2023,2,EL MAADIYA (EG)
51,Cargo,311326000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
52,Tanker,209997000,2023,2,AS SUWAYS (EG)
53,Cargo,255805966,2023,2,EL MAADIYA (EG)
54,Cargo,624013000,2023,2,DORALEH (DJ)
55,Cargo,620088000,2023,2,EL MAADIYA (EG)
56,Cargo,636020930,2023,2,MOMBASA (KE)
57,Tanker,563041000,2023,2,AS SUWAYS (EG)
58,Tanker,636016360,2023,2,EL ISMAILIYA (EG)
59,Cargo,538006067,2023,2,EL ISMAILIYA (EG)
60,Cargo,636022358,2023,2,DAMIETTA (EG)
61,Cargo,241288000,2023,2,MOMBASA (KE)
62,Cargo,563008500,2023,2,AS SUWAYS (EG)
63,Cargo,356654000,2023,2,AL KHAIR OIL TERMINAL (SD)
64,Cargo,352002086,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
65,Tanker,636018959,2023,2,BUR SAID (PORT SAID) (EG)
66,Tanker,205657000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
67,Cargo,356285000,2023,2,MJIMWEMA TERMINAL (TZ)
68,Cargo,255806514,2023,2,BUR SAID (PORT SAID) (EG)
69,Cargo,248390000,2023,2,EL ISMAILIYA (EG)
70,Tanker,538007462,2023,2,AIN SUKHNA TERMINAL (EG)
71,Cargo,566894000,2023,2,MJIMWEMA TERMINAL (TZ)
72,Tanker,636017647,2023,2,AS SUWAYS (EG)
73,Tanker,538007039,2023,2,MAPUTO (MZ)
74,Tanker,311001115,2023,2,AS SUWAYS (EG)
75,Tanker,374933000,2023,2,AS SUWAYS (EG)
76,Cargo,511100899,2023,2,AS SUWAYS (EG)
77,Cargo,636014243,2023,2,AS SUWAYS (EG)
78,Cargo,215626000,2023,2,AS SUWAYS (EG)
79,Cargo,357656000,2023,2,DAMIETTA (EG)
80,Cargo,352002157,2023,2,AS SUWAYS (EG)
81,Tanker,352002151,2023,2,AS SUWAYS (EG)
82,Cargo,312715000,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
83,Cargo,538010037,2023,2,MJIMWEMA TERMINAL (TZ)
84,Tanker,259100000,2023,2,DORALEH (DJ)
85,Tanker,219415000,2023,2,AS SUWAYS (EG)
86,Tanker,232006296,2023,2,NACALA (MZ)
87,Cargo,477211700,2023,2,AS SUWAYS (EG)
88,Cargo,538004800,2023,2,MJIMWEMA TERMINAL (TZ)
89,Tanker,538003018,2023,2,BUR SAID (PORT SAID) (EG)
90,Cargo,212566000,2023,2,EL ISMAILIYA (EG)
91,Cargo,373306000,2023,2,AL QUSAYR (EG)
92,Tanker,240834000,2023,2,AS SUWAYS (EG)
93,Cargo,566779000,2023,2,AS SUWAYS (EG)
94,Cargo,352980853,2023,2,AL ISKANDARIYH (ALEXANDRIA) (EG)
95,Cargo,636022415,2023,2,EL ISMAILIYA (EG)
96,Cargo,304909000,2023,2,MJIMWEMA TERMINAL (TZ)
97,Cargo,636020599,2023,2,BUR SAID (PORT SAID) (EG)
98,Tanker,636011916,2023,2,AS SUWAYS (EG)
99,Cargo,372512000,2023,2,AS SUWAYS (EG)
100,Cargo,372218000,2023,2,BUR SAID (PORT SAID) (EG)
101,Cargo,355972000,2023,2,BUR SAID (PORT SAID) (EG)
102,Tanker,352146000,2023,2,AS SUWAYS (EG)
103,Cargo,477103800,2023,2,BUR SAID (PORT SAID) (EG)
104,Tanker,538008327,2023,2,AS SUWAYS (EG)
105,Cargo,548995000,2023,2,EL ISMAILIYA (EG)
106,Cargo,229480000,2023,2,NACALA (MZ)
107,Tanker,232010294,2023,2,DORALEH (DJ)
108,Cargo,212091000,2023,2,AS SUWAYS (EG)
109,Cargo,271000742,2023,2,DAMIETTA (EG)
110,Cargo,414061000,2023,2,BUR SAID (PORT SAID) (EG)
111,Cargo,357562000,2023,2,MOMBASA (KE)
112,Cargo,538007249,2023,2,AS SUWAYS (EG)
113,Cargo,354473000,2023,2,AS SUWAYS (EG)
114,Tanker,538090448,2023,2,BUR SAID (PORT SAID) (EG)
115,Cargo,440093000,2023,2,BUR SAID (PORT SAID) (EG)
116,Tanker,636013274,2023,2,EL ISMAILIYA (EG)
117,Tanker,538006611,2023,2,AS SUWAYS (EG)
118,Cargo,248659000,2023,2,BUR SAID (PORT SAID) (EG)
119,Tanker,232008100,2023,2,BUR SAID (PORT SAID) (EG)
120,Tanker,241517000,2023,2,AS SUWAYS (EG)
121,Cargo,352002136,2023,2,MOMBASA (KE)
122,Cargo,636017569,2023,2,BUR SAID (PORT SAID) (EG)
123,Cargo,566886000,2023,2,BUR SAID (PORT SAID) (EG)
124,Cargo,311001003,2023,2,BUR SAID (PORT SAID) (EG)
125,Cargo,538009953,2023,2,EL ISMAILIYA (EG)
126,Cargo,636021674,2023,2,AS SUWAYS (EG)
127,Cargo,241339000,2023,2,BUR SAID (PORT SAID) (EG)
128,Cargo,352002322,2023,2,EL ISMAILIYA (EG)
