,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,636015289,2023,3,Bosphorus (TR)
1,Tanker,228333700,2023,3,Suez (EG)
2,Tanker,352002439,2023,3,Suez (EG)
3,Cargo,636019089,2023,3,Suez (EG)
4,Cargo,511100611,2023,3,Bosphorus (TR)
5,Cargo,671606000,2023,3,Bosphorus (TR)
6,Cargo,271000388,2023,3,Bosphorus (TR)
7,Cargo,314638000,2023,3,Bosphorus (TR)
8,Cargo,636015849,2023,3,Bosphorus (TR)
9,Tanker,352001255,2023,3,Suez (EG)
10,Tanker,240657000,2023,3,Bosphorus (TR)
11,Cargo,373515000,2023,3,Bosphorus (TR)
12,Tanker,232019873,2023,3,Suez (EG)
13,Cargo,372077000,2023,3,Suez (EG)
14,Cargo,255806080,2023,3,Bosphorus (TR)
15,Cargo,636019495,2023,3,Bosphorus (TR)
16,Cargo,244227000,2023,3,Bosphorus (TR)
17,Cargo,636019245,2023,3,Bosphorus (TR)
18,Cargo,376985000,2023,3,Bosphorus (TR)
19,Tanker,636012465,2023,3,Bosphorus (TR)
20,Cargo,538009310,2023,3,Bosphorus (TR)
21,Cargo,218549000,2023,3,Suez (EG)
22,Cargo,374448000,2023,3,Suez (EG)
23,Cargo,636017882,2023,3,Suez (EG)
24,Cargo,351724000,2023,3,Suez (EG)
25,Cargo,312591000,2023,3,Bosphorus (TR)
26,Cargo,671310000,2023,3,Bosphorus (TR)
27,Cargo,356872000,2023,3,Bosphorus (TR)
28,Cargo,311000624,2023,3,Suez (EG)
29,Cargo,374277000,2023,3,Bosphorus (TR)
30,Cargo,352356000,2023,3,Bosphorus (TR)
31,Tanker,636020099,2023,3,Bosphorus (TR)
32,Cargo,271000930,2023,3,Bosphorus (TR)
33,Cargo,314504000,2023,3,Bosphorus (TR)
34,Cargo,373351000,2023,3,Bosphorus (TR)
35,Cargo,312086000,2023,3,Bosphorus (TR)
36,Tanker,249811000,2023,3,Suez (EG)
37,Cargo,354340000,2023,3,Suez (EG)
38,Tanker,271049907,2023,3,Bosphorus (TR)
39,Cargo,341444000,2023,3,Bosphorus (TR)
40,Cargo,354912000,2023,3,Bosphorus (TR)
41,Cargo,538007683,2023,3,Suez (EG)
42,Cargo,538006409,2023,3,Suez (EG)
43,Cargo,477266800,2023,3,Suez (EG)
44,Tanker,636018688,2023,3,Suez (EG)
45,Cargo,636018079,2023,3,Suez (EG)
46,Tanker,240728000,2023,3,Bosphorus (TR)
47,Tanker,565961000,2023,3,Bosphorus (TR)
48,Tanker,371561000,2023,3,Suez (EG)
49,Cargo,432665000,2023,3,Suez (EG)
50,Tanker,636021413,2023,3,Bosphorus (TR)
51,Cargo,563020100,2023,3,Suez (EG)
52,Cargo,414588000,2023,3,Suez (EG)
53,Cargo,538007508,2023,3,Bosphorus (TR)
54,Cargo,636019640,2023,3,Suez (EG)
55,Cargo,368473000,2023,3,Suez (EG)
56,Cargo,249302000,2023,3,Bosphorus (TR)
57,Cargo,352002387,2023,3,Bosphorus (TR)
58,Cargo,273339100,2023,3,Bosphorus (TR)
59,Cargo,671324100,2023,3,Bosphorus (TR)
60,Cargo,511100958,2023,3,Bosphorus (TR)
61,Tanker,636014354,2023,3,Suez (EG)
62,Tanker,574005030,2023,3,Bosphorus (TR)
63,Cargo,352001527,2023,3,Suez (EG)
64,Tanker,273351180,2023,3,Bosphorus (TR)
65,Cargo,563174500,2023,3,Suez (EG)
66,Cargo,667001961,2023,3,Bosphorus (TR)
67,Cargo,616999005,2023,3,Bosphorus (TR)
68,Cargo,352639000,2023,3,Bosphorus (TR)
69,Cargo,636018573,2023,3,Bosphorus (TR)
70,Cargo,273339400,2023,3,Bosphorus (TR)
71,Cargo,273452690,2023,3,Bosphorus (TR)
72,Cargo,238303000,2023,3,Bosphorus (TR)
73,Cargo,636022540,2023,3,Bosphorus (TR)
74,Cargo,356363000,2023,3,Bosphorus (TR)
75,Cargo,256621000,2023,3,Bosphorus (TR)
76,Cargo,352980853,2023,3,Bosphorus (TR)
77,Cargo,352001881,2023,3,Bosphorus (TR)
78,Cargo,372050000,2023,3,Suez (EG)
79,Tanker,273359170,2023,3,Bosphorus (TR)
