,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,636091920,2020,3,EL MAADIYA (EG)
1,Tanker,351616000,2020,3,MAPUTO (MZ)
2,Cargo,215418000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
3,Cargo,671705000,2020,3,AL KHAIR OIL TERMINAL (SD)
4,Tanker,636018584,2020,3,AIN SUKHNA TERMINAL (EG)
5,Cargo,356185000,2020,3,AS SUWAYS (EG)
6,Cargo,374130000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
7,Tanker,273211430,2020,3,AS SUWAYS (EG)
8,Cargo,354774000,2020,3,BUR SAID (PORT SAID) (EG)
9,Tanker,636014450,2020,3,MJIMWEMA TERMINAL (TZ)
10,Cargo,374408000,2020,3,MALINDI (KE)
11,Tanker,566556000,2020,3,AS SUWAYS (EG)
12,Cargo,210385000,2020,3,EL-ADABIYA (EG)
13,Cargo,431989000,2020,3,AS SUWAYS (EG)
14,Cargo,255806109,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
15,Tanker,240411000,2020,3,AS SUWAYS (EG)
16,Cargo,249819000,2020,3,BUR SAID (PORT SAID) (EG)
17,Cargo,538006013,2020,3,EL ISMAILIYA (EG)
18,Cargo,677071700,2020,3,TANGA (TZ)
19,Cargo,370357000,2020,3,DORALEH (DJ)
20,Tanker,538006975,2020,3,BUR SAID (PORT SAID) (EG)
21,Cargo,566523000,2020,3,AS SUWAYS (EG)
22,Cargo,353445000,2020,3,BUR SAID (PORT SAID) (EG)
23,Cargo,353150000,2020,3,AS SUWAYS (EG)
24,Cargo,538007642,2020,3,DORALEH (DJ)
25,Tanker,229450000,2020,3,NACALA (MZ)
26,Tanker,538005782,2020,3,AS SUWAYS (EG)
27,Cargo,351201000,2020,3,BUR SAID (PORT SAID) (EG)
28,Cargo,477100300,2020,3,BUR SAID (PORT SAID) (EG)
29,Cargo,622113176,2020,3,DAMIETTA (EG)
30,Tanker,258960000,2020,3,AS SUWAYS (EG)
31,Tanker,271047046,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
32,Tanker,563367000,2020,3,AS SUWAYS (EG)
33,Cargo,271002600,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
34,Cargo,245021000,2020,3,AS SUWAYS (EG)
35,Cargo,636019409,2020,3,AS SUWAYS (EG)
36,Cargo,205778000,2020,3,AS SUWAYS (EG)
37,Tanker,373026000,2020,3,AS SUWAYS (EG)
38,Tanker,229399000,2020,3,BUR SAID (PORT SAID) (EG)
39,Cargo,370651000,2020,3,AS SUWAYS (EG)
40,Cargo,538003648,2020,3,AS SUWAYS (EG)
41,Tanker,311038000,2020,3,BUR SAID (PORT SAID) (EG)
42,Cargo,220061000,2020,3,BUR SAID (PORT SAID) (EG)
43,Tanker,419001223,2020,3,BUR SAID (PORT SAID) (EG)
44,Cargo,373019000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
45,Cargo,538006273,2020,3,DAMIETTA (EG)
46,Cargo,219848000,2020,3,BUR SAID (PORT SAID) (EG)
47,Cargo,352951000,2020,3,SAWAKIN HARBOR (SD)
48,Cargo,538008251,2020,3,EL ISMAILIYA (EG)
49,Cargo,636092892,2020,3,EL ISMAILIYA (EG)
50,Cargo,312473000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
51,Cargo,220596000,2020,3,BUR SAID (PORT SAID) (EG)
52,Cargo,240625000,2020,3,EL ISMAILIYA (EG)
53,Cargo,636017670,2020,3,ZAFARANA TERMINAL (EG)
54,Cargo,548982000,2020,3,BUR SAID (PORT SAID) (EG)
55,Cargo,403533001,2020,3,EL MAADIYA (EG)
56,Tanker,636011782,2020,3,EL HAMRA OIL TERMINAL (EG)
57,Cargo,375568000,2020,3,EL MAADIYA (EG)
58,Cargo,353160000,2020,3,AS SUWAYS (EG)
59,Cargo,249314000,2020,3,BEIRA (MZ)
60,Cargo,677001919,2020,3,CHINDE (MZ)
61,Cargo,538007476,2020,3,BUR SAID (PORT SAID) (EG)
62,Tanker,422273500,2020,3,AS SUWAYS (EG)
63,Cargo,256991000,2020,3,NACALA (MZ)
64,Tanker,271042520,2020,3,BUR SAID (PORT SAID) (EG)
65,Cargo,311000570,2020,3,MOMBASA (KE)
66,Cargo,304577000,2020,3,BUR SAID (PORT SAID) (EG)
67,Cargo,304081024,2020,3,AS SUWAYS (EG)
68,Tanker,370066000,2020,3,AS SUWAYS (EG)
69,Tanker,229774000,2020,3,AS SUWAYS (EG)
70,Tanker,419547000,2020,3,AS SUWAYS (EG)
71,Cargo,374543000,2020,3,EL ISMAILIYA (EG)
72,Cargo,671556000,2020,3,DAMIETTA (EG)
73,Cargo,370071000,2020,3,BUR SAID (PORT SAID) (EG)
74,Cargo,671781000,2020,3,AS SUWAYS (EG)
75,Cargo,477174400,2020,3,AS SUWAYS (EG)
76,Cargo,477524100,2020,3,AS SUWAYS (EG)
77,Tanker,241486000,2020,3,AL KHAIR OIL TERMINAL (SD)
78,Cargo,211549000,2020,3,BUR SAID (PORT SAID) (EG)
79,Cargo,636019612,2020,3,EL MAADIYA (EG)
80,Tanker,403518001,2020,3,AIN SUKHNA TERMINAL (EG)
81,Tanker,538003346,2020,3,AS SUWAYS (EG)
82,Cargo,477142300,2020,3,BUR SAID (PORT SAID) (EG)
83,Cargo,441993000,2020,3,BUR SAID (PORT SAID) (EG)
84,Tanker,538005415,2020,3,BEIRA (MZ)
85,Cargo,538004498,2020,3,EL ISMAILIYA (EG)
86,Cargo,229161000,2020,3,BUR SAID (PORT SAID) (EG)
87,Tanker,636017648,2020,3,NACALA (MZ)
88,Cargo,538006443,2020,3,EL MAADIYA (EG)
89,Tanker,564011000,2020,3,DORALEH (DJ)
90,Tanker,538006976,2020,3,AS SUWAYS (EG)
91,Cargo,636092915,2020,3,MAPUTO (MZ)
92,Cargo,477166300,2020,3,AS SUWAYS (EG)
93,Cargo,273319100,2020,3,DAMIETTA (EG)
94,Cargo,636014802,2020,3,BUR SAID (PORT SAID) (EG)
95,Cargo,477742700,2020,3,AS SUWAYS (EG)
96,Cargo,248206000,2020,3,AS SUWAYS (EG)
97,Cargo,477915600,2020,3,AS SUWAYS (EG)
98,Tanker,241410000,2020,3,BUR SAID (PORT SAID) (EG)
99,Tanker,538006657,2020,3,DORALEH (DJ)
100,Cargo,229308000,2020,3,EL ISMAILIYA (EG)
101,Cargo,667001312,2020,3,EL MAADIYA (EG)
102,Cargo,671562000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
103,Cargo,304479000,2020,3,EL MAADIYA (EG)
104,Cargo,671515000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
105,Cargo,220597000,2020,3,BUR SAID (PORT SAID) (EG)
106,Cargo,219019365,2020,3,BUR SAID (PORT SAID) (EG)
107,Cargo,351565000,2020,3,DAMIETTA (EG)
108,Cargo,319061200,2020,3,DAMIETTA (EG)
109,Cargo,671644000,2020,3,DORALEH (DJ)
110,Cargo,211182720,2020,3,DAMIETTA (EG)
111,Cargo,248038000,2020,3,EL MAADIYA (EG)
112,Cargo,538003035,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
113,Cargo,477397800,2020,3,BUR SAID (PORT SAID) (EG)
114,Tanker,538003100,2020,3,BUR SAID (PORT SAID) (EG)
115,Cargo,312341000,2020,3,EL MAADIYA (EG)
116,Cargo,311000102,2020,3,AS SUWAYS (EG)
117,Cargo,565711000,2020,3,MOMBASA (KE)
118,Cargo,218063000,2020,3,DAMIETTA (EG)
119,Tanker,247226900,2020,3,EL ISMAILIYA (EG)
120,Tanker,477043600,2020,3,AS SUWAYS (EG)
121,Cargo,671209000,2020,3,EL MAADIYA (EG)
122,Tanker,257089140,2020,3,AS SUWAYS (EG)
123,Cargo,677054700,2020,3,WADI FEIRAN (EG)
124,Cargo,304071000,2020,3,EL ISMAILIYA (EG)
125,Tanker,566980000,2020,3,AS SUWAYS (EG)
126,Cargo,314468000,2020,3,BUR SAID (PORT SAID) (EG)
127,Cargo,563248000,2020,3,MJIMWEMA TERMINAL (TZ)
128,Cargo,215317000,2020,3,AS SUWAYS (EG)
129,Cargo,538006227,2020,3,BUR SAID (PORT SAID) (EG)
130,Cargo,356880000,2020,3,AS SUWAYS (EG)
131,Cargo,351187000,2020,3,EL-ADABIYA (EG)
132,Tanker,229093000,2020,3,ZEIT BAY TERMINAL (EG)
133,Cargo,370209000,2020,3,DAMIETTA (EG)
134,Cargo,351199000,2020,3,EL-ADABIYA (EG)
135,Cargo,432729000,2020,3,AL KHAIR OIL TERMINAL (SD)
136,Cargo,477620700,2020,3,AS SUWAYS (EG)
137,Cargo,566523000,2020,3,BUR SAID (PORT SAID) (EG)
138,Tanker,371368000,2020,3,AS SUWAYS (EG)
139,Tanker,319182000,2020,3,AS SUWAYS (EG)
140,Tanker,235009400,2020,3,AS SUWAYS (EG)
141,Cargo,372045000,2020,3,MOMBASA (KE)
142,Cargo,563077100,2020,3,DAMIETTA (EG)
143,Cargo,677045900,2020,3,MOMBASA (KE)
144,Cargo,246524000,2020,3,AS SUWAYS (EG)
145,Cargo,636018324,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
146,Tanker,566478000,2020,3,AL KHAIR OIL TERMINAL (SD)
147,Cargo,249129000,2020,3,BUR SAID (PORT SAID) (EG)
148,Tanker,419766000,2020,3,AS SUWAYS (EG)
149,Cargo,371965000,2020,3,AS SUWAYS (EG)
150,Cargo,255805798,2020,3,AS SUWAYS (EG)
151,Cargo,235090537,2020,3,EL MAADIYA (EG)
152,Cargo,311000573,2020,3,MAPUTO (MZ)
153,Tanker,215063000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
154,Cargo,312197000,2020,3,AS SUWAYS (EG)
155,Tanker,319084600,2020,3,DAMIETTA (EG)
156,Tanker,308171000,2020,3,BUR SAID (PORT SAID) (EG)
157,Tanker,247284100,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
158,Cargo,374477000,2020,3,DAMIETTA (EG)
159,Tanker,538003072,2020,3,AS SUWAYS (EG)
160,Cargo,356185000,2020,3,EL ISMAILIYA (EG)
161,Cargo,636092476,2020,3,MJIMWEMA TERMINAL (TZ)
162,Cargo,314003000,2020,3,DAMIETTA (EG)
163,Cargo,215185000,2020,3,BUR SAID (PORT SAID) (EG)
164,Cargo,352138000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
165,Tanker,636019071,2020,3,AS SUWAYS (EG)
166,Cargo,538008647,2020,3,BEIRA (MZ)
167,Cargo,215419000,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
168,Cargo,477154700,2020,3,AS SUWAYS (EG)
169,Cargo,636014457,2020,3,EL-ADABIYA (EG)
170,Tanker,538005501,2020,3,AL ISKANDARIYH (ALEXANDRIA) (EG)
171,Cargo,636017685,2020,3,AS SUWAYS (EG)
