,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,357621000,2021,5,KAVKAZ OIL TERMINAL (RU)
1,Tanker,273442040,2021,5,TAGANROG (RU)
2,Tanker,311000534,2021,5,NOVOROSSIYSK (RU)
3,Cargo,272028600,2021,5,IZMAYIL (UA)
4,Tanker,273393560,2021,5,KAVKAZ OIL TERMINAL (RU)
5,Cargo,577455000,2021,5,RENI (UA)
6,Cargo,538005411,2021,5,KAVKAZ OIL TERMINAL (RU)
7,Cargo,273343220,2021,5,ROSTOV-NA-DONU (RU)
8,Cargo,273456240,2021,5,KAVKAZ OIL TERMINAL (RU)
9,Cargo,577397000,2021,5,TEMRYUK (RU)
10,Tanker,273448000,2021,5,ROSTOV-NA-DONU (RU)
11,Cargo,477057100,2021,5,ILLICHIVSK (UA)
12,Tanker,256349000,2021,5,GELENDZHIK (RU)
13,Cargo,236111603,2021,5,KAVKAZ OIL TERMINAL (RU)
14,Tanker,220644000,2021,5,MYKOLAYIV (UA)
15,Cargo,374071000,2021,5,MYKOLAYIV (UA)
16,Cargo,214182702,2021,5,DNIPRO-BUZKYY (UA)
17,Cargo,273451690,2021,5,ROSTOV-NA-DONU (RU)
18,Cargo,272794000,2021,5,KHERSON (UA)
19,Cargo,667001963,2021,5,KAVKAZ OIL TERMINAL (RU)
20,Cargo,272043700,2021,5,RENI (UA)
21,Tanker,273355910,2021,5,KAVKAZ OIL TERMINAL (RU)
22,Cargo,273353420,2021,5,KAVKAZ OIL TERMINAL (RU)
23,Cargo,273430620,2021,5,TAGANROG (RU)
24,Cargo,355427000,2021,5,YEYSK (RU)
25,Tanker,677081200,2021,5,MYKOLAYIV (UA)
26,Cargo,636020350,2021,5,YUZHNYY (UA)
27,Cargo,468421000,2021,5,AZOV (RU)
28,Tanker,374125000,2021,5,NOVOROSSIYSK (RU)
29,Tanker,241406000,2021,5,NOVOROSSIYSK (RU)
30,Cargo,273385100,2021,5,ROSTOV-NA-DONU (RU)
31,Cargo,622121409,2021,5,KAVKAZ OIL TERMINAL (RU)
32,Cargo,273435200,2021,5,ROSTOV-NA-DONU (RU)
33,Cargo,620743000,2021,5,ILLICHIVSK (UA)
34,Cargo,374101000,2021,5,NOVOROSSIYSK (RU)
35,Cargo,620558000,2021,5,RENI (UA)
36,Cargo,273333500,2021,5,KAVKAZ OIL TERMINAL (RU)
37,Tanker,273393460,2021,5,MARIUPOL (UA)
38,Cargo,357769000,2021,5,NOVOROSSIYSK (RU)
39,Cargo,214181709,2021,5,UST-DUNAISK (UA)
40,Cargo,273215370,2021,5,TAGANROG (RU)
41,Cargo,667001896,2021,5,MARIUPOL (UA)
42,Cargo,667001692,2021,5,MARIUPOL (UA)
43,Cargo,273335500,2021,5,TAGANROG (RU)
44,Tanker,636015767,2021,5,NOVOROSSIYSK (RU)
45,Tanker,273355270,2021,5,ROSTOV-NA-DONU (RU)
46,Cargo,341823000,2021,5,TUAPSE (RU)
47,Cargo,636090799,2021,5,ILLICHIVSK (UA)
48,Tanker,272791000,2021,5,IZMAYIL (UA)
49,Tanker,273437770,2021,5,KAVKAZ OIL TERMINAL (RU)
50,Tanker,636091484,2021,5,NOVOROSSIYSK (RU)
51,Cargo,273343310,2021,5,ROSTOV-NA-DONU (RU)
52,Cargo,375348000,2021,5,AZOV (RU)
53,Tanker,374190000,2021,5,KHERSON (UA)
54,Cargo,371806000,2021,5,YUZHNYY (UA)
55,Cargo,620849000,2021,5,AZOV (RU)
56,Tanker,240185000,2021,5,KAVKAZ OIL TERMINAL (RU)
57,Tanker,212231000,2021,5,TUAPSE (RU)
58,Cargo,256638000,2021,5,ILLICHIVSK (UA)
59,Tanker,273270100,2021,5,KAVKAZ OIL TERMINAL (RU)
60,Cargo,271000325,2021,5,NOVOROSSIYSK (RU)
61,Cargo,636016679,2021,5,KAVKAZ OIL TERMINAL (RU)
62,Cargo,248985000,2021,5,YUZHNYY (UA)
63,Cargo,518100381,2021,5,MYKOLAYIV (UA)
64,Tanker,273438670,2021,5,ROSTOV-NA-DONU (RU)
65,Tanker,273332610,2021,5,KAVKAZ OIL TERMINAL (RU)
66,Tanker,273398970,2021,5,KAVKAZ OIL TERMINAL (RU)
67,Tanker,273353480,2021,5,NOVOROSSIYSK (RU)
68,Cargo,636016993,2021,5,MYKOLAYIV (UA)
69,Cargo,273433060,2021,5,KAVKAZ OIL TERMINAL (RU)
70,Cargo,371972000,2021,5,RENI (UA)
71,Cargo,273458910,2021,5,KAVKAZ OIL TERMINAL (RU)
72,Cargo,248695000,2021,5,KAVKAZ OIL TERMINAL (RU)
73,Tanker,423488100,2021,5,KAVKAZ OIL TERMINAL (RU)
74,Tanker,273337080,2021,5,TUAPSE (RU)
75,Cargo,357600000,2021,5,KAVKAZ OIL TERMINAL (RU)
76,Cargo,273215370,2021,5,AZOV (RU)
77,Cargo,256686000,2021,5,ODESA (UA)
78,Cargo,273359620,2021,5,AZOV (RU)
79,Cargo,273448220,2021,5,ROSTOV-NA-DONU (RU)
80,Cargo,577355000,2021,5,TEMRYUK (RU)
81,Cargo,671062100,2021,5,RENI (UA)
82,Cargo,671273100,2021,5,YUZHNYY (UA)
83,Cargo,215952000,2021,5,KAVKAZ OIL TERMINAL (RU)
84,Tanker,215086000,2021,5,ILLICHIVSK (UA)
85,Cargo,356602000,2021,5,ROSTOV-NA-DONU (RU)
86,Cargo,613003616,2021,5,YUZHNYY (UA)
87,Cargo,273334800,2021,5,AZOV (RU)
88,Cargo,577408000,2021,5,KHERSON (UA)
89,Cargo,256213000,2021,5,ILLICHIVSK (UA)
90,Cargo,636016690,2021,5,MYKOLAYIV (UA)
91,Tanker,273353340,2021,5,MARIUPOL (UA)
