,iso3,test_mse,test_mse_orig_units,train_mse,train_mse_orig_units,val_mse,val_mse_orig_units
0,DJI,[0.016325118020176003],[-2.749711356544846],"[0.23740048706531502, 0.20040997862815801, 0.16967722773551902, 0.144556760787963, 0.12436138093471501, 0.107788369059562, 0.09303471446037201, 0.07927232980728101, 0.067904964089393, 0.05704890936613, 0.047133255749940005, 0.039547160267829, 0.033556036651134005, 0.029087498784065004, 0.025513615459203002, 0.021947598084807, 0.018865130841732, 0.015891233459115, 0.014395232312381, 0.012697057798504, 0.011188116855919, 0.010104303248226, 0.010202358476817, 0.009958456270396, 0.009846624918282, 0.009960661642253, 0.009802907705307, 0.009859554469585, 0.009853400290012, 0.00982710532844, 0.009786099195480001]","[3.644793545943603, 2.574859846099169, 1.685928948465735, 0.9593308215792181, 0.37518860783107605, -0.104178253083332, -0.530921028959363, -0.9289917706897851, -1.257787674663021, -1.571794139740608, -1.858599928797814, -2.078024304116621, -2.251314840750537, -2.380565274307861, -2.483938230510335, -2.587083667658878, -2.676242636307172, -2.762261270923854, -2.805532426404609, -2.85465135494543, -2.898296788159468, -2.9296456057944162, -2.92680940272644, -2.9338641635594653, -2.93709883475978, -2.933800374177544, -2.938363335341185, -2.936724853345416, -2.936902860201723, -2.937663430053567, -2.938849513873666]","[0.402458429336547, 0.345551401376724, 0.297390520572662, 0.252480208873748, 0.211433932185173, 0.180702582001686, 0.160718515515327, 0.14673830568790402, 0.13456460833549502, 0.12206384539604101, 0.11048873513936901, 0.101518996059894, 0.095767840743064, 0.094241671264171, 0.08844968676567001, 0.085601083934307, 0.081619970500469, 0.08006200194358801, 0.077333897352218, 0.07599644362926401, 0.07479765266180001, 0.07452888786792701, 0.07442734390497201, 0.07435094565153101, 0.074547708034515, 0.074101082980632, 0.07457708567380901, 0.07411862164735701, 0.07421900331974, 0.07414493709802601, 0.07448710501194]","[8.419019754891158, 6.773009750036926, 5.37997808965844, 4.080967668138564, 2.89372270888485, 2.004832326129124, 1.426802255793318, 1.022431019570157, 0.6703123383366171, 0.308733433158547, -0.026071387490741, -0.285517027072764, -0.45186658933870405, -0.49601035016091805, -0.6635408780110771, -0.7459354244911891, -0.861087327120564, -0.9061508618685891, -0.9850600513425761, -1.023745294412478, -1.058419780094079, -1.066193680006399, -1.069130793135471, -1.071340578007839, -1.065649315213382, -1.078567742575786, -1.064799580304883, -1.078060444585777, -1.075156950185015, -1.077299282096095, -1.067402230188205]"
1,EGY,[2.829228401184082],[82.28079323020172],"[0.317199110984802, 0.274472475051879, 0.23771838843822402, 0.206138536334037, 0.17928482592105802, 0.157652840018272, 0.13866642117500302, 0.122325755655765, 0.10797379165887801, 0.096341453492641, 0.08672106266021701, 0.079588025808334, 0.07404610514640801, 0.07002127170562701, 0.066333748400211, 0.063514746725559, 0.06182010844349801, 0.060149542987346004, 0.058614365756511, 0.057858623564243004, 0.05774222686886701, 0.05764629691839201, 0.057593286037445006, 0.057561337947845, 0.05754208564758301, 0.05755179002881, 0.057557918131351006, 0.057561822235584, 0.057561803609132, 0.057563740760087, 0.057563759386539, 0.057576335966587004, 0.057560808956623, 0.05758526176214201, 0.057557441294193004, 0.057599585503339004, 0.05755773186683601, 0.057599224150180005, 0.05756118148565201, 0.05760173872113201, 0.057565283030271, 0.05759708955883901, 0.057574998587369, 0.057595551013946006, 0.057581447064876, 0.057591032236814006, 0.05758389830589201]","[4.949338075350761, 3.6340218314456942, 2.50256726926744, 1.530398701679587, 0.703721835034489, 0.037792916817545, -0.54669365866065, -1.049732157348335, -1.491549561524093, -1.849644763979733, -2.145803262263298, -2.365389921376467, -2.535994934149027, -2.659897242114067, -2.773415641058624, -2.8601970740758773, -2.912365591705888, -2.963793040485919, -3.011052636400759, -3.034317748665989, -3.037900957613319, -3.04085410895282, -3.042486020084858, -3.043469524643421, -3.044062196233749, -3.043763452136844, -3.043574801833808, -3.043454616108835, -3.043455189514011, -3.043395555375665, -3.043394981970489, -3.043007818795383, -3.043485809350431, -3.042733043034852, -3.043589481006324, -3.042292094454199, -3.043580535885572, -3.042303218514621, -3.043474341246903, -3.042225808815807, -3.04334807742706, -3.042368930747837, -3.043048989287049, -3.042416294015408, -3.042850476414978, -3.042555402111202, -3.042775016293764]","[0.884263098239898, 0.8001610040664671, 0.7257170677185051, 0.659267306327819, 0.6022513508796691, 0.5527326464653011, 0.5101803541183471, 0.47344142198562605, 0.442117184400558, 0.41633111238479603, 0.39568951725959706, 0.37910085916519104, 0.366166293621063, 0.35529276728630005, 0.34636366367340005, 0.34012821316719005, 0.334540665149688, 0.33015179634094205, 0.32661619782447804, 0.324930250644683, 0.323317885398864, 0.32215222716331404, 0.321294665336608, 0.32053872942924505, 0.32009732723236, 0.31967365741729703, 0.319420605897903, 0.31913504004478405, 0.31898412108421303, 0.318828225135803, 0.31875106692314104, 0.31865531206130904, 0.318588107824325, 0.318540811538696, 0.31857818365097, 0.31847879290580705, 0.31850543618202204, 0.318436950445175, 0.31849843263626104, 0.31840538978576605, 0.31849589943885803, 0.318385750055313, 0.31850987672805703, 0.31841793656349104, 0.318457633256912, 0.318412989377975, 0.318492621183395]","[22.40609444018984, 19.817057222599985, 17.525341139629365, 15.479721383887291, 13.724516212095738, 12.200109834874631, 10.890160663420678, 9.759172623693944, 8.79487301002288, 8.001062810640812, 7.365622533739328, 6.85494971853304, 6.456766154660702, 6.1220305616433635, 5.847152964352608, 5.655198012603998, 5.483188386511326, 5.348079447778702, 5.239237970814943, 5.187337004040241, 5.137701217074395, 5.10181706241107, 5.075417488089561, 5.052146412410498, 5.038558085902214, 5.025515641121864, 5.017725587757349, 5.008934598316908, 5.004288640215635, 4.9994894682512285, 4.997114194648504, 4.9941664333176625, 4.992097587441206, 4.990641597017288, 4.991792077163219, 4.988732387141943, 4.989552585906267, 4.987444289753675, 4.98933698555994, 4.986472712022781, 4.98925900245595, 4.985868113604784, 4.989689285700321, 4.986858957749606, 4.988080998861552, 4.986706661334753, 4.989158083144903]"
2,KEN,[0.17685510218143402],[3.280596198660433],"[0.7622636556625361, 0.5657024383544921, 0.43444555997848505, 0.34523203969001703, 0.28449749946594205, 0.24010987579822501, 0.206429749727249, 0.180061340332031, 0.15778836607933, 0.13849386572837802, 0.12250703573226901, 0.11042370647192001, 0.10083496570587101, 0.09357826411724, 0.087460502982139, 0.082203589379787, 0.078270278871059, 0.074888780713081, 0.071947485208511, 0.06930763274431201, 0.066874422132968, 0.06461246311664501, 0.06249563768506, 0.060474831610918, 0.05853998661041201, 0.05668569356203, 0.054880928248167, 0.05317235738039, 0.051508605480194, 0.050827570259571006, 0.0500721745193, 0.04944435507059, 0.048833873122930006, 0.04828158393502201, 0.047688771039247006, 0.047116212546825006, 0.046557001769542, 0.045999325811862, 0.045446533709764, 0.044900070875883005, 0.044354401528835005, 0.043828845024108005, 0.043281368911266, 0.042759597301483, 0.042286243289709, 0.042286854237318004, 0.042179241776466, 0.042174067348241, 0.042158216238021004, 0.04216109588742201, 0.042151857167482, 0.042158208787441004, 0.042155884206295006, 0.04216593503952, 0.042153839021921005, 0.042164120823144004, 0.042155016213655]","[10.51600473136282, 8.086589068656922, 6.464308129763364, 5.361665774968267, 4.611011880429268, 4.062399139597237, 3.6461266575719122, 3.320223981231689, 3.044939195933699, 2.8064671209300753, 2.6088764887521263, 2.459531517425865, 2.341018632118702, 2.251328790244281, 2.175715783132016, 2.110742496855348, 2.062128399491399, 2.020334475436032, 1.9839812748132941, 1.9513537859750092, 1.9212803053015761, 1.893323423786938, 1.867160333584621, 1.8421840030803232, 1.8182701160302162, 1.795351817920952, 1.7730456622049062, 1.751928430210381, 1.7313651421897411, 1.722947827449351, 1.7136114473226511, 1.7058518575982151, 1.698306552243694, 1.691480485424295, 1.684153562271431, 1.677076975199192, 1.670165360386818, 1.6632727153123912, 1.6564404326808, 1.649686377196714, 1.6429421288829742, 1.636446467013836, 1.6296798878192602, 1.6232310056922432, 1.6173805451285692, 1.617388096189305, 1.616058050509512, 1.615994096708521, 1.61579818351686, 1.615833774797037, 1.615719588024929, 1.615798091430753, 1.615769360565513, 1.615893584723234, 1.6157440829292682, 1.6158711617562922, 1.6157586325341011]","[2.434677839279175, 1.980314970016479, 1.662590265274047, 1.432318687438964, 1.259523153305053, 1.125936269760131, 1.020198941230774, 0.935321569442749, 0.863561034202575, 0.800239861011505, 0.745668172836303, 0.69946813583374, 0.658533155918121, 0.6231452226638791, 0.593721330165863, 0.568203389644622, 0.546916842460632, 0.527673244476318, 0.510467708110809, 0.49558198451995805, 0.48371642827987604, 0.473055481910705, 0.46384653449058505, 0.455842107534408, 0.449977099895477, 0.44518494606018005, 0.4410400390625, 0.43729358911514205, 0.434467256069183, 0.43260657787323, 0.43087664246559104, 0.429261058568954, 0.428104072809219, 0.42684659361839206, 0.425847500562667, 0.424902975559234, 0.42411315441131503, 0.42327520251274103, 0.42258036136627203, 0.42180797457695, 0.421210050582885, 0.42057308554649303, 0.419989198446273, 0.41937944293022106, 0.41919279098510703, 0.419029265642166, 0.41897314786911005, 0.41895017027854903, 0.418965488672256, 0.4189393222332, 0.418937712907791, 0.418857604265213, 0.41891264915466303, 0.418879836797714, 0.41888290643692005, 0.41886681318283003, 0.41890117526054305]","[31.186355006220822, 25.57061713963604, 21.64367069159794, 18.79760886144638, 16.6619272513113, 15.010848408492087, 13.703978591648578, 12.654929245825768, 11.767998595597744, 10.985374983279467, 10.310891400969505, 9.739877978033066, 9.233938491487741, 8.796558216293812, 8.43289102766204, 8.117499796211003, 7.854406843074321, 7.61656390035057, 7.403910559553862, 7.219929148889065, 7.073275762370825, 6.941510857557773, 6.827692061531424, 6.7287606421769866, 6.656271564142942, 6.597042517106056, 6.545813174316406, 6.49950859650445, 6.464576284505606, 6.441579068603039, 6.420197779698014, 6.400229828356147, 6.385929961043954, 6.370388036326766, 6.358039657784342, 6.34636571788621, 6.336603853904247, 6.326247113674045, 6.317659163378239, 6.308112780885577, 6.300722686663628, 6.292850061243414, 6.285633457246184, 6.278097130287051, 6.275790189146042, 6.2737690832797295, 6.2730754907252795, 6.2727914971727134, 6.272980826207757, 6.272657419801593, 6.27263752920258, 6.271647419385076, 6.272327751540184, 6.271922204326987, 6.2719601438028825, 6.271761237812758, 6.272185938936114]"
3,MOZ,[0.28795167803764304],[5.169682461477875],"[0.329830557107925, 0.25574862957000705, 0.203674241900444, 0.179210186004638, 0.170162975788116, 0.16200408339500402, 0.151868671178817, 0.141696989536285, 0.13192763924598602, 0.12273409217596001, 0.114144623279571, 0.10595903545618, 0.09810886532068201, 0.092314273118972, 0.086994066834449, 0.082372099161148, 0.07893654704093901, 0.07600098103284801]","[5.78401730731666, 4.697285509718418, 3.933389444891989, 3.57451828260231, 3.4418018246400353, 3.322116388644337, 3.173436742971539, 3.02422504933238, 2.880915284654498, 2.74605216397503, 2.620050461745977, 2.4999734218342002, 2.384816732661455, 2.299813982206702, 2.2217701524721982, 2.153969011155009, 2.10357178398478, 2.060509015088707]","[0.7643771171569821, 0.561653435230255, 0.40086233615875205, 0.30985945463180503, 0.276765048503875, 0.27393466234207103, 0.277946501970291, 0.27861613035202004, 0.274545162916183, 0.26831251382827703, 0.26209661364555303, 0.256781429052352, 0.25252091884613004, 0.255342841148376, 0.25745952129364, 0.25784498453140203, 0.258174180984497, 0.260794579982757]","[12.158521589761733, 9.184702217105626, 6.826005488509654, 5.491054734457254, 5.005582168379068, 4.964062316726446, 5.022913292068838, 5.032736287760019, 4.9730179474502805, 4.881589198601484, 4.790406144869446, 4.712435979951977, 4.649937175331592, 4.691332867886066, 4.722383134741306, 4.728037619866132, 4.732866709296227, 4.771306191210985]"
4,RUS,[0.062084842473268],[3.087252813039806],"[0.267661035060882, 0.22906716167926702, 0.19687180221080702, 0.171041026711463, 0.14923271536827, 0.130699709057807, 0.11456505954265502, 0.10036194324493401, 0.08780886977910901, 0.07650556415319401, 0.066899098455905, 0.060146450996398, 0.056853771209716006, 0.053900860249996005, 0.05154697969555801, 0.049090959131717, 0.047015480697155006, 0.045910269021987006, 0.045098945498466006, 0.044719003140926, 0.044528823345899006, 0.044142771512269, 0.044318087399005, 0.044004309922456006]","[7.379131742192091, 6.573395290534006, 5.901242629372732, 5.361965392578648, 4.906666407048733, 4.51974699640821, 4.182898836065784, 3.886375903136611, 3.624301434172459, 3.388318762078948, 3.1877615516799622, 3.046784403583884, 2.9780420904831892, 2.916393238210149, 2.86725053240278, 2.815975417444996, 2.7726450003909253, 2.749571148106784, 2.732632891339317, 2.724700715059109, 2.7207302715717, 2.712670545834687, 2.716330670826577, 2.709779839608755]","[0.5370962619781491, 0.471486270427703, 0.41526022553443903, 0.367349177598953, 0.326977610588073, 0.292851597070693, 0.263926863670349, 0.239998325705528, 0.219486311078071, 0.20188145339488903, 0.188126891851425, 0.17573836445808402, 0.16455739736557, 0.15698979794979, 0.152684047818183, 0.148823872208595, 0.146728485822677, 0.146894857287406, 0.14650659263134, 0.149024173617362, 0.152424067258834, 0.15312001109123202, 0.15493643283843903, 0.154465794563293]","[13.004215846640351, 11.634455385894361, 10.46060653545353, 9.460352495724292, 8.617502574194553, 7.905043040297957, 7.301172269807936, 6.8016086452269136, 6.373372854564891, 6.005830695182936, 5.718672381153138, 5.460033192376228, 5.226604620381178, 5.068613463584141, 4.978720961775289, 4.89813085961859, 4.8543848179930755, 4.85785820746924, 4.849752283941165, 4.9023126152243774, 4.973293265743882, 4.9878227043551515, 5.025744713344456, 5.015919049823165]"
5,SDN,[0.22400104999542203],[106.02588227391077],"[0.44790974259376504, 0.39022713899612405, 0.33919236063957203, 0.296513766050338, 0.264208376407623, 0.24181106686592102, 0.22758969664573603, 0.21705229580402302, 0.207754373550415, 0.19878605008125302, 0.189896792173385, 0.18203738331794703, 0.17417249083518901, 0.16623237729072501, 0.160335093736648, 0.15560463070869401, 0.15094211697578402, 0.146430104970932, 0.14195190370082802, 0.137562707066535, 0.13344722986221302, 0.12924784421920701, 0.125250414013862, 0.12137262523174201, 0.11973121017217601, 0.11766032129526101, 0.11552055925130801, 0.11366544663906, 0.11183383315801601, 0.10998723655939101]","[154.0854080534571, 141.70447481472362, 130.75042377892967, 121.58993521953529, 114.65594043650354, 109.84860552323681, 106.79614560850067, 104.53440899825588, 102.53871276575137, 100.61376126894338, 98.70578032087654, 97.01884508796222, 95.33073285505981, 93.62647525275571, 92.36068852644546, 91.34534692803341, 90.34458989469105, 89.3761363936302, 88.41493999303934, 87.47284745366802, 86.58950576424516, 85.68815405598295, 84.8301498499991, 83.9978253529943, 83.64551375466041, 83.20102034883627, 82.74174407903139, 82.3435646632273, 81.95042907617645, 81.55407752856036]","[0.187762096524238, 0.16726008057594302, 0.153245255351066, 0.145052671432495, 0.14307826757431, 0.142795115709304, 0.14192210137844002, 0.139033615589141, 0.134114190936088, 0.12779393792152402, 0.12101812660694101, 0.114650696516036, 0.10849136114120402, 0.10308839380741101, 0.09961020946502601, 0.09667281806468901, 0.09374587982892901, 0.090527564287185, 0.08797843754291501, 0.08562859892845101, 0.083420515060424, 0.08124718815088201, 0.079028069972991, 0.07837657630443501, 0.077786147594451, 0.07786258310079501, 0.078510299324989, 0.07943660765886301, 0.08013591915369, 0.080992810428142]","[98.24759149671284, 93.84706040269548, 90.83893308805379, 89.08048551075507, 88.65670154765594, 88.59592612979323, 88.40854325397369, 87.78856170862258, 86.73266158616481, 85.37608914066536, 83.92173614180842, 82.55503765836805, 81.23300440545357, 80.07331719165566, 79.32676337041259, 78.69628477625474, 78.06804983832417, 77.37727398254877, 76.83013210493819, 76.32576522145956, 75.85182442734671, 75.38534383016916, 74.90903464341724, 74.76919872907266, 74.6424697330736, 74.65887576959221, 74.79790089726022, 74.9967227417139, 75.1468222238893, 75.33074446387432]"
6,TZA,[0.7763845324516291],[5.1796842779888514],"[0.48105138540267905, 0.38846963644027704, 0.28514569997787403, 0.208034679293632, 0.16329219937324502, 0.143651515245437, 0.13449452817440002, 0.126229390501976, 0.11744076013565001, 0.110027886927127, 0.10265816748142201, 0.09696247428655601, 0.09210312366485501, 0.08767571300268101, 0.08340422809123901, 0.08012441545724801, 0.07741768658161101, 0.074966385960578, 0.073585793375968, 0.072167083621025, 0.071164213120937, 0.07055639475584001, 0.070269845426082, 0.07002162933349601, 0.069712437689304, 0.06943736225366501, 0.06910848617553701, 0.06879015266895201, 0.06846036016941001]","[3.2503469569379693, 2.645533628985584, 1.970544286384761, 1.4667973431207981, 1.174505952163368, 1.046198292568117, 0.9863779944367851, 0.932383924572393, 0.874970008335411, 0.8265435682953071, 0.778399040956094, 0.741190506933026, 0.7094455890184641, 0.680522426442556, 0.652617887658819, 0.631191694953925, 0.613509314598336, 0.5974955829175861, 0.588476518091067, 0.579208443358168, 0.57265694210159, 0.56868621728482, 0.5668142624373951, 0.5651927290067671, 0.563172857602365, 0.5613758588252731, 0.5592273939547531, 0.557147801057949, 0.554993349436357]","[1.42898678779602, 1.177688837051391, 0.9298384785652161, 0.7210696935653681, 0.5685236454010011, 0.48273384571075406, 0.447036087512969, 0.437940627336502, 0.438154071569442, 0.43562343716621404, 0.431359857320785, 0.42703589797019903, 0.42030319571495, 0.41628390550613403, 0.41316375136375405, 0.41354942321777305, 0.41419306397438005, 0.41384518146514804, 0.410745620727539, 0.40984827280044506, 0.40736451745033203, 0.40259486436843805, 0.399638593196868, 0.399352431297302, 0.40099951624870306, 0.40341630578041004, 0.40610158443450906, 0.40838947892189004, 0.410116970539093]","[9.442971008987664, 7.8013045725586405, 6.182160391008436, 4.8183263195694686, 3.821781275969743, 3.261338047833085, 3.028133553664267, 2.968715195291906, 2.970109572891205, 2.953577573524147, 2.925724676552504, 2.897477335428923, 2.853494281503647, 2.827237267411291, 2.806854083557814, 2.809373580976486, 2.81357832448557, 2.81130569537127, 2.79105704306221, 2.7851948942888383, 2.768969144009143, 2.737810197608053, 2.718497620068252, 2.7166281962050203, 2.727388188774198, 2.743176468170672, 2.760718719612956, 2.775664960037499, 2.786950229172289]"
7,UKR,[0.619536340236663],[17.675086423703792],"[0.267569631338119, 0.230151653289794, 0.199586078524589, 0.17447543144226002, 0.15384474396705602, 0.137349873781204, 0.124113097786903, 0.11275349557399701, 0.10209532082080801, 0.091776020824909, 0.0819958075881, 0.07412837445735901, 0.06814549863338401, 0.064188882708549, 0.059784781187772, 0.055892486125230005, 0.052309960126876005, 0.048921834677457005, 0.045728139579296, 0.042646504938602, 0.039726339280605004, 0.036848209798336, 0.034455288201570004, 0.034404139965772004, 0.034058693796396006, 0.033902358263731, 0.033980458974838, 0.033916674554347, 0.033963739871978, 0.033864159137010005, 0.033905051648616, 0.033963061869144, 0.033877305686473, 0.033846516162157, 0.033930286765098, 0.033813677728176006, 0.033985693007707006, 0.033860754221677, 0.033855360001325004, 0.033982034772634, 0.033893093466758]","[8.398773624455034, 7.412598341633797, 6.607022628810912, 5.945215102592945, 5.401479841714322, 4.96674675032109, 4.6178828621397905, 4.318493116638809, 4.037589950572222, 3.765618050358101, 3.507854134242549, 3.300502788780599, 3.14282018363896, 3.038540983313113, 2.922468007450647, 2.819884025516383, 2.725464209857762, 2.636167947804279, 2.551996024815634, 2.470777528471097, 2.393814652766242, 2.317959667964354, 2.254892654310874, 2.253544609105475, 2.244440149389766, 2.240319824182935, 2.242378219502031, 2.240697139385, 2.241937576611876, 2.239313061215989, 2.240390810103073, 2.2419197074037642, 2.239659547124937, 2.238848069075219, 2.241055898101717, 2.237982590671315, 2.242516165861361, 2.239223322445578, 2.239081154240377, 2.242419750683523, 2.240075644399553]","[1.407660007476806, 1.303027629852295, 1.21082055568695, 1.134287476539611, 1.070233106613159, 1.019751667976379, 0.9778853654861451, 0.9415287971496581, 0.9138491749763481, 0.890541076660156, 0.8713604211807251, 0.85527616739273, 0.8450266718864441, 0.841973185539245, 0.838858425617218, 0.8337955474853511, 0.8299670219421381, 0.8262781500816341, 0.8226598501205441, 0.819427073001861, 0.8161678910255431, 0.812679886817932, 0.8112775683403011, 0.81004923582077, 0.80955559015274, 0.808803856372833, 0.808831930160522, 0.8087656497955321, 0.8090603351593011, 0.8084579110145561, 0.808437347412109, 0.8090500235557551, 0.8083248734474181, 0.808193266391754, 0.8087715506553651, 0.808165550231933, 0.808889269828796, 0.808357536792755, 0.8084054589271541, 0.808829009532928, 0.808559358119964]","[38.44660110669613, 35.68894636482715, 33.258768621773, 31.241689268211125, 29.553494457241534, 28.223023127108334, 27.11960934441638, 26.16140820871258, 25.431893663862112, 24.817593489242554, 24.312074769933464, 23.888163742248896, 23.618031585010648, 23.537554955350164, 23.455463420552135, 23.3220279562645, 23.221124661717415, 23.123902031311633, 23.02853936946893, 22.943337414269806, 22.857439541778923, 22.765510909732583, 22.72855188913834, 22.69617838225663, 22.683168027831435, 22.66335559242809, 22.664095495462895, 22.66234863309622, 22.670115258582594, 22.65423797626245, 22.65369600907135, 22.669843489527345, 22.650731684173945, 22.6472630941509, 22.662504154116274, 22.646532616632463, 22.665606719920397, 22.651592548002125, 22.6528555671953, 22.664018520412565, 22.65691168107188]"
